iter	Passed	Remaining
1163	1255	1441
1164	1256	1440
1165	1257	1439
1166	1258	1438
1167	1260	1437
1168	1261	1436
1169	1262	1435
1170	1263	1434
1171	1264	1432
1172	1265	1431
1173	1266	1430
1174	1267	1428
1175	1268	1427
1176	1269	1426
1177	1269	1425
1178	1270	1423
1179	1271	1422
1180	1272	1421
1181	1273	1419
1182	1274	1419
1183	1275	1417
1184	1276	1416
1185	1277	1415
1186	1278	1414
1187	1279	1412
1188	1279	1411
1189	1280	1409
1190	1281	1408
1191	1282	1407
1192	1283	1405
1193	1284	1404
1194	1285	1403
1195	1285	1402
1196	1286	1400
1197	1287	1399
1198	1288	1397
1199	1288	1396
1200	1289	1394
1201	1290	1393
1202	1290	1391
1203	1291	1390
1204	1292	1388
1205	1293	1387
1206	1293	1386
1207	1295	1385
1208	1296	1384
1209	1297	1383
1210	1298	1382
1211	1299	1380
1212	1299	1379
1213	1300	1377
1214	1301	1376
1215	1302	1375
1216	1303	1374
1217	1304	1372
1218	1305	1371
1219	1306	1370
1220	1306	1368
1221	1307	1367
1222	1308	1366
1223	1309	1364
1224	1309	1363
1225	1310	1362
1226	1311	1360
1227	1312	1359
1228	1313	1358
1229	1313	1356
1230	1314	1355
1231	1315	1353
1232	1316	1352
1233	1318	1352
1234	1319	1351
1235	1321	1351
1236	1322	1350
1237	1324	1350
1238	1326	1349
1239	1327	1348
1240	1327	1347
1241	1328	1345
1242	1329	1344
1243	1330	1342
1244	1330	1341
1245	1331	1340
1246	1332	1338
1247	1333	1337
1248	1334	1336
1249	1335	1335
1250	1336	1333
1251	1337	1332
1252	1337	1331
1253	1338	1330
1254	1339	1328
1255	1340	1327
1256	1341	1326
1257	1342	1325
1258	1343	1324
1259	1344	1323
1260	1345	1321
1261	1346	1320
1262	1346	1319
1263	1347	1317
1264	1348	1316
1265	1348	1314
1266	1349	1313
1267	1350	1312
1268	1351	1311
1269	1352	1309
1270	1353	1308
1271	1354	1307
1272	1354	1305
1273	1355	1304
1274	1356	1302
1275	1356	1301
1276	1357	1300
1277	1359	1300
1278	1361	1299
1279	1362	1298
1280	1363	1297
1281	1364	1296
1282	1365	1295
1283	1367	1294
1284	1368	1293
1285	1369	1292
1286	1369	1291
1287	1370	1289
1288	1371	1288
1289	1373	1288
1290	1374	1287
1291	1375	1286
1292	1376	1284
1293	1377	1283
1294	1378	1282
1295	1380	1282
1296	1381	1280
1297	1382	1279
1298	1382	1278
1299	1383	1277
1300	1384	1276
1301	1385	1275
1302	1386	1274
1303	1387	1272
1304	1388	1271
1305	1389	1270
1306	1390	1269
1307	1392	1268
1308	1393	1267
1309	1394	1266
1310	1394	1264
1311	1395	1263
1312	1396	1262
1313	1396	1260
1314	1398	1260
1315	1400	1259
1316	1401	1259
1317	1403	1258
1318	1404	1257
1319	1406	1256
1320	1407	1255
1321	1408	1254
1322	1408	1253
1323	1410	1252
1324	1411	1251
1325	1413	1251
1326	1414	1250
1327	1416	1249
1328	1418	1249
1329	1419	1249
1330	1420	1247
1331	1422	1247
1332	1424	1247
1333	1425	1246
1334	1426	1245
1335	1427	1243
1336	1428	1242
1337	1430	1242
